GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RPC Core,com.rpcframework.rpc.model,RpcRequest,9,250,5,21,2,52,6,31,1,23
RPC Core,com.rpcframework.rpc.model,RpcResponse,5,205,4,12,0,49,4,28,0,24
